filename,subject,response_happiness,Expansion,winloss,prototipicality,UpperFaceAUs,NasalAreaAUs,LowerFaceAUs,HandtoFaceHead_R,HandtoFaceHead_L,HeadPositionAUs,Torso,TouchingGround,NeckAUs,Shoulder_R,Shoulder_L,Chest,Arm_RX,Arm_RZ,Arm_RY,Arm_LX,Arm_LZ,Arm_LY,ArmForearm_R,ArmForearm_L,Palm_R,Palm_L,R_PalmDirection,L_PalmDirection,R_HandTouchBody,L_HandTouchBody,Torso,Leg_R,Leg_L,TouchingGround,LegSplit
E_los12,13,1,2.47,loss,prototypical,Not_visible,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Raised,Raised,Open,neutral,>90,InFrontofBody,neutral,>90,InFrontofBody,<90,<90,Not_visible,PartialClench,Not_visible,TowardsBody,N/A,N/A,neutral,neutral\180,neutral\180,Back,HipsWidth
E_los13,13,1,2.3,loss,prototypical,Not_visible,10+38,Not_visible,Upperface,N/A,neutral,neutral,Back,21,Raised,Not_visible,neutral,neutral,90,NotinFrontofBody,Not_visible,Not_visible,InfrontofBody,<90,Not_visible,PartialClench,PartialClench,TowordsBody,TowordsBody,N/A,Chest,neutral,>90,neutral\180,Back,WiderThanHips
E_los33,13,2,2.36,loss,prototypical,Not_visible,Not_visible,Not_visible,Upperface,Upperface,neutral,neutral,Back,Not_visible,Raised+Forward,Not_visible,neutral,neutral,90,InfrontofBody,Not_visible,90,InfrontofBody,>90,>90,neutral,Not_visible,TowordsBody,TowordsBody,N/A,N/A,neutral,>90,>90,Back,HipsWidth
E_win32,13,4,4.03,win,prototypical,4+6+7,10,17+27,N/A,N/A,AU57_Forward,neutral,Back,21,Not_visible,Not_visible,neutral,neutral,90,NotinFrontofBody,neutral,90,NotinFrontofBody,<90,<90,neutral,Not_visible,TowardsBody,Not_visible,N/A,N/A,neutral,<90,<90,Back,Not_visible
E_win46,13,2,2.78,win,prototypical,1+4+6+7+43,9+10+38,20+27,N/A,N/A,AU53_HeadUp,neutral,Back,Not_visible,Forward,Forward,neutral,neutral,neutral,NotinFrontofBody,neutral,neutral,InfrontofBody,90,<90,HoldingArtifact,Clench,TowardsBody,TowardsBody,N/A,N/A,neutral,90,>90,Back,WiderThanHips
E_amb_vic12,15,3,2.28,win,ambivalent,1+2,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Not_visible,Not_visible,Not_visible,Not_visible,<90,InfrontofBody,Not_visible,<90,InfrontofBody,<90,<90,neutral,neutral,TowardsBody,TowardsBody,N/A,N/A,neutral,>90,>90,Back,TightThighs
E_los1,15,2,1.86,loss,prototypical,Not_visible,Not_visible,Not_visible,Eyes,Eyes,neutral,neutral,Back,Not_visible,Raised+Forward,Raised+Forward,Closed,90,90,InfrontofBody,90,90,InfrontofBody,<90,<90,Clench,neutral,OutwardsBody,OutwardsBody,N/A,N/A,neutral,<90,<90,Back,WiderThanHips
E_los12,15,2,2.47,loss,prototypical,Not_visible,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Raised,Raised,Open,neutral,>90,InFrontofBody,neutral,>90,InFrontofBody,<90,<90,Not_visible,PartialClench,Not_visible,TowardsBody,N/A,N/A,neutral,neutral\180,neutral\180,Back,HipsWidth
E_los13,15,2,2.3,loss,prototypical,Not_visible,10+38,Not_visible,Upperface,N/A,neutral,neutral,Back,21,Raised,Not_visible,neutral,neutral,90,NotinFrontofBody,Not_visible,Not_visible,InfrontofBody,<90,Not_visible,PartialClench,PartialClench,TowordsBody,TowordsBody,N/A,Chest,neutral,>90,neutral\180,Back,WiderThanHips
E_los33,15,2,2.36,loss,prototypical,Not_visible,Not_visible,Not_visible,Upperface,Upperface,neutral,neutral,Back,Not_visible,Raised+Forward,Not_visible,neutral,neutral,90,InfrontofBody,Not_visible,90,InfrontofBody,>90,>90,neutral,Not_visible,TowordsBody,TowordsBody,N/A,N/A,neutral,>90,>90,Back,HipsWidth
E_win32,15,4,4.03,win,prototypical,4+6+7,10,17+27,N/A,N/A,AU57_Forward,neutral,Back,21,Not_visible,Not_visible,neutral,neutral,90,NotinFrontofBody,neutral,90,NotinFrontofBody,<90,<90,neutral,Not_visible,TowardsBody,Not_visible,N/A,N/A,neutral,<90,<90,Back,Not_visible
E_win46,15,1,2.78,win,prototypical,1+4+6+7+43,9+10+38,20+27,N/A,N/A,AU53_HeadUp,neutral,Back,Not_visible,Forward,Forward,neutral,neutral,neutral,NotinFrontofBody,neutral,neutral,InfrontofBody,90,<90,HoldingArtifact,Clench,TowardsBody,TowardsBody,N/A,N/A,neutral,90,>90,Back,WiderThanHips
E_amb_vic12,18,1,2.28,win,ambivalent,1+2,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Not_visible,Not_visible,Not_visible,Not_visible,<90,InfrontofBody,Not_visible,<90,InfrontofBody,<90,<90,neutral,neutral,TowardsBody,TowardsBody,N/A,N/A,neutral,>90,>90,Back,TightThighs
E_los1,18,1,1.86,loss,prototypical,Not_visible,Not_visible,Not_visible,Eyes,Eyes,neutral,neutral,Back,Not_visible,Raised+Forward,Raised+Forward,Closed,90,90,InfrontofBody,90,90,InfrontofBody,<90,<90,Clench,neutral,OutwardsBody,OutwardsBody,N/A,N/A,neutral,<90,<90,Back,WiderThanHips
E_los12,18,1,2.47,loss,prototypical,Not_visible,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Raised,Raised,Open,neutral,>90,InFrontofBody,neutral,>90,InFrontofBody,<90,<90,Not_visible,PartialClench,Not_visible,TowardsBody,N/A,N/A,neutral,neutral\180,neutral\180,Back,HipsWidth
E_los13,18,1,2.3,loss,prototypical,Not_visible,10+38,Not_visible,Upperface,N/A,neutral,neutral,Back,21,Raised,Not_visible,neutral,neutral,90,NotinFrontofBody,Not_visible,Not_visible,InfrontofBody,<90,Not_visible,PartialClench,PartialClench,TowordsBody,TowordsBody,N/A,Chest,neutral,>90,neutral\180,Back,WiderThanHips
E_los33,18,1,2.36,loss,prototypical,Not_visible,Not_visible,Not_visible,Upperface,Upperface,neutral,neutral,Back,Not_visible,Raised+Forward,Not_visible,neutral,neutral,90,InfrontofBody,Not_visible,90,InfrontofBody,>90,>90,neutral,Not_visible,TowordsBody,TowordsBody,N/A,N/A,neutral,>90,>90,Back,HipsWidth
E_win32,18,5,4.03,win,prototypical,4+6+7,10,17+27,N/A,N/A,AU57_Forward,neutral,Back,21,Not_visible,Not_visible,neutral,neutral,90,NotinFrontofBody,neutral,90,NotinFrontofBody,<90,<90,neutral,Not_visible,TowardsBody,Not_visible,N/A,N/A,neutral,<90,<90,Back,Not_visible
E_win46,18,5,2.78,win,prototypical,1+4+6+7+43,9+10+38,20+27,N/A,N/A,AU53_HeadUp,neutral,Back,Not_visible,Forward,Forward,neutral,neutral,neutral,NotinFrontofBody,neutral,neutral,InfrontofBody,90,<90,HoldingArtifact,Clench,TowardsBody,TowardsBody,N/A,N/A,neutral,90,>90,Back,WiderThanHips
E_amb_vic12,20,2,2.28,win,ambivalent,1+2,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Not_visible,Not_visible,Not_visible,Not_visible,<90,InfrontofBody,Not_visible,<90,InfrontofBody,<90,<90,neutral,neutral,TowardsBody,TowardsBody,N/A,N/A,neutral,>90,>90,Back,TightThighs
E_los1,20,2,1.86,loss,prototypical,Not_visible,Not_visible,Not_visible,Eyes,Eyes,neutral,neutral,Back,Not_visible,Raised+Forward,Raised+Forward,Closed,90,90,InfrontofBody,90,90,InfrontofBody,<90,<90,Clench,neutral,OutwardsBody,OutwardsBody,N/A,N/A,neutral,<90,<90,Back,WiderThanHips
E_los12,20,2,2.47,loss,prototypical,Not_visible,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Raised,Raised,Open,neutral,>90,InFrontofBody,neutral,>90,InFrontofBody,<90,<90,Not_visible,PartialClench,Not_visible,TowardsBody,N/A,N/A,neutral,neutral\180,neutral\180,Back,HipsWidth
E_los13,20,2,2.3,loss,prototypical,Not_visible,10+38,Not_visible,Upperface,N/A,neutral,neutral,Back,21,Raised,Not_visible,neutral,neutral,90,NotinFrontofBody,Not_visible,Not_visible,InfrontofBody,<90,Not_visible,PartialClench,PartialClench,TowordsBody,TowordsBody,N/A,Chest,neutral,>90,neutral\180,Back,WiderThanHips
E_los33,20,2,2.36,loss,prototypical,Not_visible,Not_visible,Not_visible,Upperface,Upperface,neutral,neutral,Back,Not_visible,Raised+Forward,Not_visible,neutral,neutral,90,InfrontofBody,Not_visible,90,InfrontofBody,>90,>90,neutral,Not_visible,TowordsBody,TowordsBody,N/A,N/A,neutral,>90,>90,Back,HipsWidth
E_win32,20,5,4.03,win,prototypical,4+6+7,10,17+27,N/A,N/A,AU57_Forward,neutral,Back,21,Not_visible,Not_visible,neutral,neutral,90,NotinFrontofBody,neutral,90,NotinFrontofBody,<90,<90,neutral,Not_visible,TowardsBody,Not_visible,N/A,N/A,neutral,<90,<90,Back,Not_visible
E_win46,20,3,2.78,win,prototypical,1+4+6+7+43,9+10+38,20+27,N/A,N/A,AU53_HeadUp,neutral,Back,Not_visible,Forward,Forward,neutral,neutral,neutral,NotinFrontofBody,neutral,neutral,InfrontofBody,90,<90,HoldingArtifact,Clench,TowardsBody,TowardsBody,N/A,N/A,neutral,90,>90,Back,WiderThanHips
E_amb_vic12,21,1,2.28,win,ambivalent,1+2,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Not_visible,Not_visible,Not_visible,Not_visible,<90,InfrontofBody,Not_visible,<90,InfrontofBody,<90,<90,neutral,neutral,TowardsBody,TowardsBody,N/A,N/A,neutral,>90,>90,Back,TightThighs
E_los1,21,1,1.86,loss,prototypical,Not_visible,Not_visible,Not_visible,Eyes,Eyes,neutral,neutral,Back,Not_visible,Raised+Forward,Raised+Forward,Closed,90,90,InfrontofBody,90,90,InfrontofBody,<90,<90,Clench,neutral,OutwardsBody,OutwardsBody,N/A,N/A,neutral,<90,<90,Back,WiderThanHips
E_los12,21,1,2.47,loss,prototypical,Not_visible,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Raised,Raised,Open,neutral,>90,InFrontofBody,neutral,>90,InFrontofBody,<90,<90,Not_visible,PartialClench,Not_visible,TowardsBody,N/A,N/A,neutral,neutral\180,neutral\180,Back,HipsWidth
E_los13,21,1,2.3,loss,prototypical,Not_visible,10+38,Not_visible,Upperface,N/A,neutral,neutral,Back,21,Raised,Not_visible,neutral,neutral,90,NotinFrontofBody,Not_visible,Not_visible,InfrontofBody,<90,Not_visible,PartialClench,PartialClench,TowordsBody,TowordsBody,N/A,Chest,neutral,>90,neutral\180,Back,WiderThanHips
E_los33,21,2,2.36,loss,prototypical,Not_visible,Not_visible,Not_visible,Upperface,Upperface,neutral,neutral,Back,Not_visible,Raised+Forward,Not_visible,neutral,neutral,90,InfrontofBody,Not_visible,90,InfrontofBody,>90,>90,neutral,Not_visible,TowordsBody,TowordsBody,N/A,N/A,neutral,>90,>90,Back,HipsWidth
E_win32,21,4,4.03,win,prototypical,4+6+7,10,17+27,N/A,N/A,AU57_Forward,neutral,Back,21,Not_visible,Not_visible,neutral,neutral,90,NotinFrontofBody,neutral,90,NotinFrontofBody,<90,<90,neutral,Not_visible,TowardsBody,Not_visible,N/A,N/A,neutral,<90,<90,Back,Not_visible
E_win46,21,2,2.78,win,prototypical,1+4+6+7+43,9+10+38,20+27,N/A,N/A,AU53_HeadUp,neutral,Back,Not_visible,Forward,Forward,neutral,neutral,neutral,NotinFrontofBody,neutral,neutral,InfrontofBody,90,<90,HoldingArtifact,Clench,TowardsBody,TowardsBody,N/A,N/A,neutral,90,>90,Back,WiderThanHips
E_amb_vic12,22,1,2.28,win,ambivalent,1+2,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Not_visible,Not_visible,Not_visible,Not_visible,<90,InfrontofBody,Not_visible,<90,InfrontofBody,<90,<90,neutral,neutral,TowardsBody,TowardsBody,N/A,N/A,neutral,>90,>90,Back,TightThighs
E_los1,22,1,1.86,loss,prototypical,Not_visible,Not_visible,Not_visible,Eyes,Eyes,neutral,neutral,Back,Not_visible,Raised+Forward,Raised+Forward,Closed,90,90,InfrontofBody,90,90,InfrontofBody,<90,<90,Clench,neutral,OutwardsBody,OutwardsBody,N/A,N/A,neutral,<90,<90,Back,WiderThanHips
E_los12,22,1,2.47,loss,prototypical,Not_visible,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Raised,Raised,Open,neutral,>90,InFrontofBody,neutral,>90,InFrontofBody,<90,<90,Not_visible,PartialClench,Not_visible,TowardsBody,N/A,N/A,neutral,neutral\180,neutral\180,Back,HipsWidth
E_los13,22,2,2.3,loss,prototypical,Not_visible,10+38,Not_visible,Upperface,N/A,neutral,neutral,Back,21,Raised,Not_visible,neutral,neutral,90,NotinFrontofBody,Not_visible,Not_visible,InfrontofBody,<90,Not_visible,PartialClench,PartialClench,TowordsBody,TowordsBody,N/A,Chest,neutral,>90,neutral\180,Back,WiderThanHips
E_los33,22,1,2.36,loss,prototypical,Not_visible,Not_visible,Not_visible,Upperface,Upperface,neutral,neutral,Back,Not_visible,Raised+Forward,Not_visible,neutral,neutral,90,InfrontofBody,Not_visible,90,InfrontofBody,>90,>90,neutral,Not_visible,TowordsBody,TowordsBody,N/A,N/A,neutral,>90,>90,Back,HipsWidth
E_win32,22,5,4.03,win,prototypical,4+6+7,10,17+27,N/A,N/A,AU57_Forward,neutral,Back,21,Not_visible,Not_visible,neutral,neutral,90,NotinFrontofBody,neutral,90,NotinFrontofBody,<90,<90,neutral,Not_visible,TowardsBody,Not_visible,N/A,N/A,neutral,<90,<90,Back,Not_visible
E_win46,22,5,2.78,win,prototypical,1+4+6+7+43,9+10+38,20+27,N/A,N/A,AU53_HeadUp,neutral,Back,Not_visible,Forward,Forward,neutral,neutral,neutral,NotinFrontofBody,neutral,neutral,InfrontofBody,90,<90,HoldingArtifact,Clench,TowardsBody,TowardsBody,N/A,N/A,neutral,90,>90,Back,WiderThanHips
E_amb_vic12,23,1,2.28,win,ambivalent,1+2,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Not_visible,Not_visible,Not_visible,Not_visible,<90,InfrontofBody,Not_visible,<90,InfrontofBody,<90,<90,neutral,neutral,TowardsBody,TowardsBody,N/A,N/A,neutral,>90,>90,Back,TightThighs
E_los1,23,1,1.86,loss,prototypical,Not_visible,Not_visible,Not_visible,Eyes,Eyes,neutral,neutral,Back,Not_visible,Raised+Forward,Raised+Forward,Closed,90,90,InfrontofBody,90,90,InfrontofBody,<90,<90,Clench,neutral,OutwardsBody,OutwardsBody,N/A,N/A,neutral,<90,<90,Back,WiderThanHips
E_los12,23,1,2.47,loss,prototypical,Not_visible,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Raised,Raised,Open,neutral,>90,InFrontofBody,neutral,>90,InFrontofBody,<90,<90,Not_visible,PartialClench,Not_visible,TowardsBody,N/A,N/A,neutral,neutral\180,neutral\180,Back,HipsWidth
E_los13,23,1,2.3,loss,prototypical,Not_visible,10+38,Not_visible,Upperface,N/A,neutral,neutral,Back,21,Raised,Not_visible,neutral,neutral,90,NotinFrontofBody,Not_visible,Not_visible,InfrontofBody,<90,Not_visible,PartialClench,PartialClench,TowordsBody,TowordsBody,N/A,Chest,neutral,>90,neutral\180,Back,WiderThanHips
E_los33,23,1,2.36,loss,prototypical,Not_visible,Not_visible,Not_visible,Upperface,Upperface,neutral,neutral,Back,Not_visible,Raised+Forward,Not_visible,neutral,neutral,90,InfrontofBody,Not_visible,90,InfrontofBody,>90,>90,neutral,Not_visible,TowordsBody,TowordsBody,N/A,N/A,neutral,>90,>90,Back,HipsWidth
E_win32,23,4,4.03,win,prototypical,4+6+7,10,17+27,N/A,N/A,AU57_Forward,neutral,Back,21,Not_visible,Not_visible,neutral,neutral,90,NotinFrontofBody,neutral,90,NotinFrontofBody,<90,<90,neutral,Not_visible,TowardsBody,Not_visible,N/A,N/A,neutral,<90,<90,Back,Not_visible
E_win46,23,1,2.78,win,prototypical,1+4+6+7+43,9+10+38,20+27,N/A,N/A,AU53_HeadUp,neutral,Back,Not_visible,Forward,Forward,neutral,neutral,neutral,NotinFrontofBody,neutral,neutral,InfrontofBody,90,<90,HoldingArtifact,Clench,TowardsBody,TowardsBody,N/A,N/A,neutral,90,>90,Back,WiderThanHips
E_amb_vic12,24,3,2.28,win,ambivalent,1+2,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Not_visible,Not_visible,Not_visible,Not_visible,<90,InfrontofBody,Not_visible,<90,InfrontofBody,<90,<90,neutral,neutral,TowardsBody,TowardsBody,N/A,N/A,neutral,>90,>90,Back,TightThighs
E_los1,24,2,1.86,loss,prototypical,Not_visible,Not_visible,Not_visible,Eyes,Eyes,neutral,neutral,Back,Not_visible,Raised+Forward,Raised+Forward,Closed,90,90,InfrontofBody,90,90,InfrontofBody,<90,<90,Clench,neutral,OutwardsBody,OutwardsBody,N/A,N/A,neutral,<90,<90,Back,WiderThanHips
E_los12,24,1,2.47,loss,prototypical,Not_visible,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Raised,Raised,Open,neutral,>90,InFrontofBody,neutral,>90,InFrontofBody,<90,<90,Not_visible,PartialClench,Not_visible,TowardsBody,N/A,N/A,neutral,neutral\180,neutral\180,Back,HipsWidth
E_los13,24,1,2.3,loss,prototypical,Not_visible,10+38,Not_visible,Upperface,N/A,neutral,neutral,Back,21,Raised,Not_visible,neutral,neutral,90,NotinFrontofBody,Not_visible,Not_visible,InfrontofBody,<90,Not_visible,PartialClench,PartialClench,TowordsBody,TowordsBody,N/A,Chest,neutral,>90,neutral\180,Back,WiderThanHips
E_los33,24,1,2.36,loss,prototypical,Not_visible,Not_visible,Not_visible,Upperface,Upperface,neutral,neutral,Back,Not_visible,Raised+Forward,Not_visible,neutral,neutral,90,InfrontofBody,Not_visible,90,InfrontofBody,>90,>90,neutral,Not_visible,TowordsBody,TowordsBody,N/A,N/A,neutral,>90,>90,Back,HipsWidth
E_win32,24,5,4.03,win,prototypical,4+6+7,10,17+27,N/A,N/A,AU57_Forward,neutral,Back,21,Not_visible,Not_visible,neutral,neutral,90,NotinFrontofBody,neutral,90,NotinFrontofBody,<90,<90,neutral,Not_visible,TowardsBody,Not_visible,N/A,N/A,neutral,<90,<90,Back,Not_visible
E_win46,24,1,2.78,win,prototypical,1+4+6+7+43,9+10+38,20+27,N/A,N/A,AU53_HeadUp,neutral,Back,Not_visible,Forward,Forward,neutral,neutral,neutral,NotinFrontofBody,neutral,neutral,InfrontofBody,90,<90,HoldingArtifact,Clench,TowardsBody,TowardsBody,N/A,N/A,neutral,90,>90,Back,WiderThanHips
E_amb_vic12,26,4,2.28,win,ambivalent,1+2,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Not_visible,Not_visible,Not_visible,Not_visible,<90,InfrontofBody,Not_visible,<90,InfrontofBody,<90,<90,neutral,neutral,TowardsBody,TowardsBody,N/A,N/A,neutral,>90,>90,Back,TightThighs
E_los1,26,2,1.86,loss,prototypical,Not_visible,Not_visible,Not_visible,Eyes,Eyes,neutral,neutral,Back,Not_visible,Raised+Forward,Raised+Forward,Closed,90,90,InfrontofBody,90,90,InfrontofBody,<90,<90,Clench,neutral,OutwardsBody,OutwardsBody,N/A,N/A,neutral,<90,<90,Back,WiderThanHips
E_los12,26,1,2.47,loss,prototypical,Not_visible,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Raised,Raised,Open,neutral,>90,InFrontofBody,neutral,>90,InFrontofBody,<90,<90,Not_visible,PartialClench,Not_visible,TowardsBody,N/A,N/A,neutral,neutral\180,neutral\180,Back,HipsWidth
E_los13,26,1,2.3,loss,prototypical,Not_visible,10+38,Not_visible,Upperface,N/A,neutral,neutral,Back,21,Raised,Not_visible,neutral,neutral,90,NotinFrontofBody,Not_visible,Not_visible,InfrontofBody,<90,Not_visible,PartialClench,PartialClench,TowordsBody,TowordsBody,N/A,Chest,neutral,>90,neutral\180,Back,WiderThanHips
E_los33,26,2,2.36,loss,prototypical,Not_visible,Not_visible,Not_visible,Upperface,Upperface,neutral,neutral,Back,Not_visible,Raised+Forward,Not_visible,neutral,neutral,90,InfrontofBody,Not_visible,90,InfrontofBody,>90,>90,neutral,Not_visible,TowordsBody,TowordsBody,N/A,N/A,neutral,>90,>90,Back,HipsWidth
E_win32,26,4,4.03,win,prototypical,4+6+7,10,17+27,N/A,N/A,AU57_Forward,neutral,Back,21,Not_visible,Not_visible,neutral,neutral,90,NotinFrontofBody,neutral,90,NotinFrontofBody,<90,<90,neutral,Not_visible,TowardsBody,Not_visible,N/A,N/A,neutral,<90,<90,Back,Not_visible
E_win46,26,1,2.78,win,prototypical,1+4+6+7+43,9+10+38,20+27,N/A,N/A,AU53_HeadUp,neutral,Back,Not_visible,Forward,Forward,neutral,neutral,neutral,NotinFrontofBody,neutral,neutral,InfrontofBody,90,<90,HoldingArtifact,Clench,TowardsBody,TowardsBody,N/A,N/A,neutral,90,>90,Back,WiderThanHips
E_amb_vic12,28,1,2.28,win,ambivalent,1+2,Not_visible,Not_visible,WholeFace,WholeFace,neutral,neutral,Back,Not_visible,Not_visible,Not_visible,Not_visible,Not_visible,<90,InfrontofBody,Not_visible,<90,InfrontofBody,<90,<90,neutral,neutral,TowardsBody,TowardsBody,N/A,N/A,neutral,>90,>90,Back,TightThighs
